ARA;rn;Rot1y6_high;Rot1y6_base;Rot1y6_low;Rot1_high;Rot1_base;Rot1_low;Rot6_high;Rot6_base;Rot6_low;base
1;ARA_0;18537378;19402079;20044540;16732336;17763545;18640204;12867382,2;14193998;15476011,0;15584422
2;ARA_0.07;13328516;14231272;14699069; 9780021;11027983;11957759; 4696539,3; 6542790; 8228613,8; 7534238
3;ARA_0.14;10423048;11179463;11425375; 6116914; 7285941; 8112192; -850997,4; 1123664; 2912749,2; 1877609
4;ARA_0.21; 8711383; 9298865; 9366793; 4058298; 5105971; 5827412;-3868256,2;-1912841; -157252,1;-1368877
5;ARA_0.28; 7581222; 8045147; 7999638; 2742731; 3707596; 4367186;-5595159,6;-3675350;-1962908,7;-3255918
6;ARA_0.35; 6781286; 7163534; 7048862; 1833390; 2749324; 3375147;-6690948,9;-4802476;-3122756,4;-4453105
7;ARA_0.42; 6189384; 6517194; 6359083; 1172233; 2059234; 2665616;-7444506,7;-5581026;-3924150,0;-5272362
8;ARA_0.49; 5736323; 6026373; 5839680;  672935; 1541889; 2136087;-7993891,6;-6149908;-4508845,0;-5866035
1;ARA_0;305,95894;320,23082;330,83460;276,16676;293,18685;307,65607; 212,37581; 234,27157;255,431157;257,22047
2;ARA_0.07;219,98682;234,88677;242,60775;161,41900;182,01658;197,36250;  77,51626; 107,98858;135,813056;124,35240
3;ARA_0.14;172,03213;184,51674;188,57551;100,95951;120,25427;133,89152; -14,04569;  18,54605; 48,074849; 30,98989
4;ARA_0.21;143,78114;153,47753;154,59868; 66,98210; 84,27392; 96,18128; -63,84547; -31,57139; -2,595442;-22,59328
5;ARA_0.28;125,12786;132,78495;132,03382; 45,26870; 61,19378; 72,08029; -92,34796; -60,66155;-32,397757;-53,73884
6;ARA_0.35;111,92495;118,23394;116,34128; 30,26005; 45,37753; 55,70671;-110,43394; -79,26474;-51,541013;-73,49838
7;ARA_0.42;102,15562;107,56611;104,95650; 19,34767; 33,98760; 43,99591;-122,87139; -92,11469;-64,767994;-87,02020
8;ARA_0.49; 94,67786; 99,46513; 96,38377; 11,10677; 25,44884; 35,25606;-131,93897;-101,50407;-74,418369;-96,81876
